0	1	q	13000241	13052894	215	-1	-76	-152
1	23	q	13216979	13600873	790	1	-276	-640
2	39	q	13788390	15089536	2025	1	-1108	-2152
3	71	q	15291294	15636905	337	1	-544	-1544
4	159	q	16150523	16296134	160	-1	-136	-1608
5	177	q	16370380	16456484	104	-1	-104	-1672
6	188	q	16592459	16724079	236	-1	-360	-2136
7	198	q	16850556	17578699	983	-1	-952	-2664
8	204	q	17644914	17787735	199	-1	-532	-2928
9	208	q	17844656	18014102	184	-1	-368	-2640
10	222	q	18078473	18190718	124	-1	-320	-2720
11	240	q	18282126	18685282	653	-1	-964	-3480
12	251	q	18741729	19119883	700	-1	-900	-3648
13	279	q	19323637	19567518	255	-1	-420	-3896
14	283	q	19589657	19942199	406	-1	-644	-3984
15	291	q	19985493	20053580	59	-1	-112	-3936
16	327	q	20253536	21147724	1244	1	-1428	-3448
17	340	q	21262842	21511048	356	1	-396	-3408
18	361	q	21737510	21903534	255	-1	-300	-3256
19	407	q	22144459	22188089	35	-1	-24	-3224
20	412	q	22208016	22373564	241	-1	-220	-3184
21	445	q	22597682	22633444	49	-1	-64	-3184
22	461	q	22794522	22901932	141	-1	-176	-3104
23	472	q	22984185	23042818	69	-1	-124	-3080
24	481	q	23122141	23248552	103	-1	-112	-3112
25	497	q	23313997	23732627	645	-1	-800	-3288
26	524	q	23875625	23945453	87	-1	-164	-3392
27	531	q	24021516	24160699	421	-1	-596	-3544
28	535	q	24195060	24596090	560	-1	-800	-3208
29	547	q	24670832	25010023	497	-1	-888	-3112
30	570	q	25113103	25454201	375	-1	-692	-2432
31	605	q	25669284	25695512	35	-1	-92	-2440
32	625	q	25802404	25893994	165	-1	-380	-2640
33	649	q	26061383	26910696	987	-1	-1208	-2016
34	664	q	27018095	27038073	53	-1	-52	-2024
35	705	q	27289165	27474528	187	1	-272	-1832
36	706	q	27478652	27756505	298	1	-336	-1688
37	715	q	27814422	28183327	451	1	-284	-1440
38	741	q	28359328	28435452	122	1	-180	-1336
39	756	q	28585140	28614571	51	1	-84	-1264
40	802	q	28927580	29227902	231	1	-240	-1328
41	826	q	29424585	29468308	42	1	-68	-1336
42	862	q	29816178	29938930	187	1	-320	-1304
43	984	q	30624367	30743586	208	-1	-172	-1408
44	996	q	30809240	30853971	55	-1	-60	-1400
45	997	q	30865318	30912064	23	-1	-32	-1400
46	1023	q	31082397	31168731	123	-1	-236	-1648
47	1048	q	31292286	31886012	606	-1	-860	-2264
48	1054	q	31948470	32165076	303	-1	-532	-2080
49	1082	q	32328115	32500875	268	1	-468	-2168
50	1121	q	32812952	32891631	99	1	-180	-2416
51	1138	q	32972142	33029640	58	1	-112	-2496
52	1153	q	33129527	33370310	345	1	-552	-2640
53	1199	q	33487187	33606998	71	1	-112	-2640
54	1206	q	33636854	33670243	22	1	-36	-2712
55	1233	q	33750419	33833723	59	1	-112	-2792
56	1250	q	33900087	34064513	225	1	-592	-3288
57	1269	q	34142816	34217105	87	1	-248	-3128
58	1315	q	34534052	34783769	244	-1	-856	-4056
59	1322	q	34814021	34922044	96	-1	-516	-4464
60	1324	q	34947536	35150214	259	-1	-676	-4648
61	1348	q	35284640	35765382	513	1	-964	-4432
62	1371	q	35983610	36227478	418	1	-1352	-4976
63	1380	q	36297847	36498219	262	1	-1072	-5216
64	1393	q	36624961	37445087	1275	1	-2356	-4536
65	1413	q	37626832	37880935	362	1	-684	-4768
66	1464	q	38063771	38446322	441	1	-1024	-4608
67	1472	q	38518905	38753158	281	1	-628	-5016
68	1487	q	38864885	38909078	86	1	-180	-5056
69	1504	q	38997202	39345573	439	1	-1064	-4304
70	1516	q	39479237	39654115	236	-1	-592	-4672
71	1531	q	39733651	41319717	2394	-1	-1824	-4128
72	1541	q	41381671	41545493	311	-1	-948	-4184
73	1549	q	41586640	41940778	475	-1	-1560	-4424
74	1565	q	42027752	42125378	178	-1	-724	-4208
75	1584	q	42222936	42304242	100	-1	-440	-4208
76	1594	q	42364888	43035029	1154	-1	-1920	-3312
77	1667	q	43303611	43371535	117	-1	-292	-3384
78	1681	q	43577440	43995684	581	1	-1008	-2920
79	1712	q	44255993	44292704	60	1	-160	-2968
80	1715	q	44311354	44482922	239	1	-584	-3160
81	1737	q	44550087	45094902	893	1	-1368	-2808
82	1743	q	45119809	45315831	341	1	-964	-2624
83	1778	q	45418768	45540064	246	1	-460	-2232
84	1783	q	45593490	46333370	1093	1	-1132	-496
85	1835	q	46443111	46668704	220	1	-248	-0
